,M9STMFLOW,M9CHWTONS,M9TFRARealPower,M9TFRBRealPower,TMP C,TMP F
1/11/2019 1:00,3405.161621,86.99210358,15.83934021,22.22007179,-1.1,30.02
1/11/2019 2:00,3198.828125,87.59693909,14.86145496,21.42773056,-1.1,30.02
1/11/2019 3:00,3410.500732,85.39930725,15.05487633,21.3878479,-2.2,28.04
1/11/2019 4:00,3389.091309,88.60127258,15.56184769,20.53358841,-2.8,26.96
1/11/2019 5:00,3481.960205,87.59528351,15.43280983,19.51205063,-3.3,26.06
1/11/2019 6:00,3467.859619,85.14337921,15.09484768,19.59611893,-3.9,24.98
1/11/2019 7:00,4112.859863,88.56590271,20.86466217,23.66843033,-3.9,24.98
1/11/2019 8:00,4438.188477,88.86149597,17.9048996,27.00761795,-3.9,24.98
1/11/2019 9:00,4018.5354,91.03520966,17.30317879,28.03516006,-3.3,26.06
1/11/2019 10:00,3595.348389,87.27401733,19.52301025,32.03645325,-3.3,26.06
1/11/2019 11:00,3912.870117,86.66928864,18.36614609,34.06672287,-3.3,26.06
1/11/2019 12:00,3432.408447,92.927948,19.88388443,33.64558029,-3.9,24.98
1/11/2019 13:00,3350.101563,89.76522064,18.6522522,33.36825562,-3.9,24.98
1/11/2019 14:00,3994.72583,92.85786438,18.96406937,36.6459465,-3.9,24.98
1/11/2019 15:00,3643.785156,90.61297607,19.11223793,36.33984375,-2.8,26.96
1/11/2019 16:00,3843.900146,89.26634979,18.20336723,34.88362503,-2.2,28.04
1/11/2019 17:00,3865.83374,88.95170593,18.27310562,32.2650795,-2.2,28.04
1/11/2019 18:00,4014.106689,90.74179077,16.9458046,31.14274788,-1.7,28.94
1/11/2019 19:00,3906.469971,88.0258255,17.52095032,27.96212578,-2.2,28.04
1/11/2019 20:00,4003.086426,87.00349426,16.91596603,25.45296478,-2.8,26.96
1/11/2019 21:00,4502.05127,90.90766907,16.53663635,25.32463074,-2.8,26.96
1/11/2019 22:00,4420.01123,89.35601807,15.93057632,25.00011826,-3.9,24.98
1/11/2019 23:00,4178.613281,87.22035217,17.93753624,23.73236084,-5,23
1/12/2019 0:00,4139.334473,87.19880676,16.21006775,21.20165062,-5.6,21.92
1/12/2019 1:00,4081.952148,89.7815094,16.11731339,21.49466133,-6.1,21.02
1/12/2019 2:00,4033.301025,89.70978546,15.6814642,21.13406563,-7.2,19.04
1/12/2019 3:00,4242.974609,88.99447632,14.93918419,20.87218094,-7.8,17.96
1/12/2019 4:00,4246.933105,88.98757172,20.39609337,22.54227257,-8.3,17.06
1/12/2019 5:00,4386.160156,86.74851227,20.87327766,20.36687851,-8.3,17.06
1/12/2019 6:00,4197.411133,84.80750275,20.68131828,21.58173943,-8.9,15.98
1/12/2019 7:00,4281.367188,83.26638031,20.65847015,21.91643906,-8.9,15.98
1/12/2019 8:00,4482.21875,90.43635559,20.88492393,25.43267632,-8.9,15.98
1/12/2019 9:00,4113.666016,90.3939743,17.90839005,31.26952553,-9.4,15.08
1/12/2019 10:00,4069.028076,91.45396423,18.39134789,31.82613945,-9.4,15.08
1/12/2019 11:00,3789.716309,92.25467682,17.31342506,30.03028297,-9.4,15.08
1/12/2019 12:00,3470.97168,92.74591827,17.90195084,32.51415634,-9.4,15.08
1/12/2019 13:00,3071.876709,94.24469757,18.49075317,32.91101074,-8.9,15.98
1/12/2019 14:00,2885.108398,94.49228668,18.12650871,33.17341995,-7.8,17.96
1/12/2019 15:00,3436.153809,88.9516983,17.38940811,32.96961212,-6.7,19.94
1/12/2019 16:00,3676.007324,86.05794525,16.5740242,30.43099785,-5,23
1/12/2019 17:00,3161.335205,87.88712311,16.81613922,29.56945419,-3.9,24.98
